Team,,G,,Punt,,Avg
Florida,,4,,21,,48.8
Colorado St.,,4,,12,,47.9
Tennessee,,5,,29,,47.3
New Mexico,,5,,21,,47.2
Pittsburgh,,5,,23,,46.8
Utah,,4,,13,,46.8
Missouri,,4,,21,,46.7
Minnesota,,4,,16,,46.6
Syracuse,,5,,24,,46.4
Kent St.,,5,,34,,45.8
N. Carolina,,5,,29,,45.7
Texas,,4,,19,,45.7
Northwestern,,5,,20,,45.7
USC,,5,,20,,45.6
Bowling Green,,5,,35,,45.2
Texas A&M,,5,,28,,45.2
Cent. Michigan,,6,,38,,44.9
South Alabama,,5,,27,,44.9
Rice,,6,,32,,44.8
Baylor,,5,,24,,44.8
N.C. State,,5,,19,,44.8
Georgia Tech,,4,,13,,44.8
Stanford,,5,,18,,44.7
Marshall,,4,,19,,44.6
Purdue,,4,,23,,44.6
Clemson,,6,,25,,44.6
Penn St.,,6,,22,,44.5
Mississippi St.,,6,,23,,44.5
Texas St.,,5,,32,,44.3
Idaho,,4,,19,,44.2
San Jose St.,,6,,41,,44.2
Rutgers,,5,,31,,44
Air Force,,4,,18,,44
W. Michigan,,5,,23,,43.9
Virginia Tech,,5,,24,,43.8
South Carolina,,5,,23,,43.7
Notre Dame,,6,,26,,43.7
Charlotte,,5,,32,,43.6
Troy,,5,,21,,43.5
Louisville,,5,,14,,43.4
Ohio St.,,5,,18,,43.4
Michigan St.,,4,,20,,43.3
UTEP,,5,,35,,43.2
Kentucky,,5,,30,,43.1
California,,7,,23,,42.9
Kansas,,4,,20,,42.9
Wake Forest,,5,,31,,42.9
Tulsa,,5,,22,,42.8
Old Dominion,,4,,30,,42.8
Georgia,,5,,24,,42.6
Oklahoma,,4,,9,,42.6
Memphis,,9,,18,,42.6
BYU,,5,,26,,42.4
Colorado,,5,,23,,42.2
Oklahoma St.,,6,,9,,42.1
Army,,5,,11,,42
Florida Intl.,,4,,19,,41.9
Boise St.,,8,,23,,41.9
Iowa St.,,4,,20,,41.9
Hawaii,,5,,18,,41.8
UAB,,4,,19,,41.8
La Lafayette,,4,,20,,41.6
Nebraska,,5,,25,,41.6
Florida Atlantic,,5,,26,,41.5
Miami (OH),,5,,28,,41.5
Utah St.,,8,,31,,41.4
Northern Illinois,,4,,28,,41.4
Arkansas St.,,3,,16,,41.4
Coastal Car.,,5,,19,,41.4
LA Monroe,,4,,28,,41.3
Maryland,,4,,17,,41.3
UMass,,6,,33,,41.2
Buffalo,,5,,21,,41.2
South Florida,,6,,29,,41.2
Indiana,,4,,31,,41.2
Arkansas,,4,,16,,41.2
Wisconsin,,4,,16,,41.1
Temple,,5,,29,,41
SMU,,5,,24,,41
Kansas St.,,5,,13,,41
UCLA,,5,,16,,40.9
Ohio,,5,,20,,40.9
Georgia Southern,,3,,22,,40.9
Boston Coll.,,5,,38,,40.8
East Carolina,,5,,24,,40.8
Virginia,,4,,19,,40.6
Fresno St.,,5,,17,,40.5
Houston,,4,,22,,40.5
Appalachian St.,,5,,24,,40.5
Washington St.,,10,,19,,40.4
Mississippi,,6,,18,,40.3
Akron,,6,,30,,40.1
Connecticut,,4,,14,,40.1
Cincinnati,,5,,30,,40
Washington,,5,,14,,39.7
UTSA,,3,,10,,39.7
Iowa,,5,,25,,39.7
Texas Tech,,4,,17,,39.6
Middle Tenn. St.,,9,,27,,39.6
Oregon St.,,5,,29,,39.5
Louisiana Tech,,6,,23,,39.5
N. Mex. St.,,5,,32,,39.3
UNLV,,5,,12,,39.3
LSU,,8,,19,,39.3
Auburn,,5,,17,,39.2
Tulane,,6,,21,,39.2
Duke,,6,,26,,39.2
East. Michigan,,9,,29,,39.1
Alabama,,5,,15,,39
Vanderbilt,,6,,35,,39
Michigan,,4,,19,,38.9
Illinois,,5,,24,,38.9
S. Diego St.,,5,,27,,38.8
West Virginia,,4,,21,,38.7
UCF,,3,,13,,38.6
Navy,,4,,14,,38.6
Nevada,,6,,25,,38.5
Oregon,,6,,24,,38.5
W. Kentucky,,4,,20,,38.4
Arizona,,5,,13,,38.4
Ball St.,,5,,23,,38.2
Arizona St.,,6,,25,,37.8
Wyoming,,5,,32,,37.3
Southern Miss,,6,,26,,37.2
Toledo,,5,,14,,37.1
North Texas,,5,,18,,36.8
Georgia St.,,7,,16,,36.3
Miami (FL),,3,,11,,35.2
TCU,,5,,10,,34.9
Florida St.,,71,,92,,10.9